ID,ProductID,ShortDescription,ImageUrl,LongDescription,Category,Supplier,OrderUnit,Price,CurrencyCode_code,PriceBaseQuantity,PriceBaseUoM,MinimumQuantity,MinimumQuantityUoM,IsConfigurable,QuoteFlag,DocOverrideFlag,createdAt,createdBy,modifiedAt,modifiedBy
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa1,321380,Oak Dining Chair,images/catalog-chair-oak.svg,Solid oak dining chair with tapered legs and a curved back for everyday dining spaces.,Chair,PCI,Each,177.70,USD,1,Each,1,Each,false,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa2,314408,Striped Accent Chair,images/catalog-chair-striped.svg,Soft upholstered accent chair with a striped backrest and compact lounge footprint.,Chair,PCI,Each,215.00,USD,1,Each,1,Each,true,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa3,314412,White Cafe Chair,images/catalog-chair-white.svg,Minimal white cafe chair designed for breakout areas and compact dining setups.,Chair,PCI,Each,128.50,USD,1,Each,1,Each,false,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa4,314409,Round Bistro Table,images/catalog-table-round.svg,Compact round bistro table with a durable top and slim metal pedestal base.,Table,PCI,Each,289.00,USD,1,Each,1,Each,false,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa5,314410,Navy Lounge Chair,images/catalog-chair-navy.svg,Modern navy lounge chair with an upholstered seat and angled timber frame.,Chair,PCI,Each,342.00,USD,1,Each,1,Each,true,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa6,345158,Split Drawer Writing Desk,images/catalog-desk-split.svg,Writing desk with split drawers and a slim silhouette for focused workspaces.,Table,PCI,Each,706.00,USD,1,Each,1,Each,false,true,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa7,314413,Large Dining Chair,images/catalog-chair-large.svg,Large-format dining chair with a deeper seat and sturdy wood construction.,Chair,PCI,Each,194.50,USD,1,Each,1,Each,false,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa8,314411,Small Dining Chair,images/catalog-chair-small.svg,Compact dining chair sized for flexible meeting or classroom furniture layouts.,Chair,PCI,Each,149.90,USD,1,Each,1,Each,false,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaa9,335235,Custom Studio Table,images/catalog-table-studio.svg,Made-to-order studio table with customizable finish package and accessory rail.,Table,PCI,Each,890.00,USD,1,Each,1,Each,true,true,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaa10,340336,White Work Table,images/catalog-table-white.svg,Clean-lined white work table suited for assembly rooms and collaborative benches.,Table,PCI,Each,333.00,USD,1,Each,1,Each,false,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaa11,339155,Configurable Executive Desk,images/MARK_Product_Hero_Image_005_Meta.jpg,Configurable executive desk with selectable series dimensions and hardware options.,Table,PCI,Each,2500.00,USD,1,Each,1,Each,true,false,false,2026-02-24T10:00:00Z,admin,2026-02-24T10:00:00Z,admin
